Sentiment,SentimentText
positive,When does the white man become a terrorist? When does the white man not become mentally ill in his wrong doings? Wh\xe2\x8negative\xa6 https://t.co/7CHZKbDLqy'
positive,"Can you have a civil conversation about difficult, controversial political issues in caucus-state Iowa? We asked in\xe2\x8negative\xa6 https://t.co/ws45wCTK2o'"
positive,"@BillOReilly Bro, at least you recognize the vulgarity and brutality of your industry.\n\nOn the other hand, you don\xe2\x8negative\x99\xe2\x8negative\xa6 https://t.co/LQIvPSDxDs'"
negative,"Well he knows who is in charge now AND @POTUS has access to everything, so @BarackObama is \xe2\x8negative\x9cgetting ahead of this .\xe2\x8negative\xa6 https://t.co/lpositive62n8A8vW'"
negative,@SenSchumer Hey Chuckie...do you remember this? @foxnewspolitics @ABCPolitics @maddow https://t.co/CasfD3vviw'
negative,@Kennedy_DFW I suppose this story will be covered by MSM just as extensively as the Awan Brothers/DWS story. :/\n\nWh\xe2\x8negative\xa6 https://t.co/W2TnegativeQPirgP'
positive,Everyone must report this reality check! @FoxNews @foxnewspolitics @BBCWorld @BBCPolitics @ABCPolitics @abcnews\xe2\x8negative\xa6 https://t.co/tK4uGLIkdW'
negative,Literally the ONLY thing you need to digest as the lunatic main scream media freaks out in an attempt to sway opini\xe2\x8negative\xa6 https://t.co/YSDC87Zhlz'
positive,@foxnewspolitics @brookefoxnews What future clients. positive he should be disbarred. 2 who would trust him with anything???'
positive,@MisterWelby @foxnewspolitics @brookefoxnews What president Trump did in his private life back in 2negativenegative8 is his busin\xe2\x8negative\xa6 https://t.co/5SdCdpHYZy'
positive,@foxnewspolitics @brookefoxnews Was it worth it to get Trump ask for a coke on tape?'
positive,"""@foxnewspolitics @brookefoxnews I don't think Michael Cohen is worried about future clients etc.."""
negative,@r_libertypositive24 @foxnewspolitics @HowardKurtz I\xe2\x8negative\x99m not here to argue with the intellectually dead. Go pick a fight with somebody else or don\xe2\x8negative\x99t.'
positive,"""@foxnewspolitics @brookefoxnews What future clients?  Who would hire a lawyer you can't trust?"""
positive,@DeniseGundelfipositive @foxnewspolitics @HowardKurtz Sure you are wouldn\xe2\x8negative\x99t have responded if you didn\xe2\x8negative\x99t care. I knew I wo\xe2\x8negative\xa6 https://t.co/BHzXLMRjJk'
positive,"@foxnewspolitics @brookefoxnews Not to mention the smear campaign against Michael Cohen that Fox News, Donald Trump\xe2\x8negative\xa6 https://t.co/NsWrSynegativelLN'"
positive,"@foxnewspolitics @brookefoxnews Yeah, and his client could face trouble with, y\xe2\x8negative\x99know, felony campaign finance viola\xe2\x8negative\xa6 https://t.co/Pg7w6hPusV'"
negative,"@foxnewspolitics @brookefoxnews Donald trump could face obstuction, conspiracy, money laundering, and treason'"
positive,Vote for @JohnJamesMI for Senator of Michigan August 7th! Don\xe2\x8negative\x99t miss the opportunity to #MAGA one state at a time!\xe2\x8negative\xa6 https://t.co/3BBKACWyzH'
positive,"@foxnewspolitics @brookefoxnews Wow not the potential dirt on Trump, but sharing how he could face trouble with the\xe2\x8negative\xa6 https://t.co/uROT92yWgd'"
negative,@foxnewspolitics @brookefoxnews Nothing new.  Most Lawyers are money grubbing sleaze bags.  Say or do anything for\xe2\x8negative\xa6 https://t.co/v5PlffGpositiveHM'
negative,"""@KezNat @foxnewspolitics @brookefoxnews Who's going to trust any President now? This one paid thousands to hide the\xe2\x8negative\xa6 https://t.co/D4UnegativeTYQxiU"""
negative,@foxnewspolitics @brookefoxnews Raid on Michael Cohen property is the worst attack on privacy in American history.'
positive,@foxnewspolitics @brookefoxnews And @realDonaldTrump will face trouble as well. Or don\xe2\x8negative\x99t you report that? #statemedia'
negative,@MarieNoel45 @foxnewspolitics @brookefoxnews I think the broken man is the guy who paid hush money to hide the fact\xe2\x8negative\xa6 https://t.co/vpuRbIp3hC'
positive,"""@foxnewspolitics @brookefoxnews @POTUS he thinks he will get a book deal or payoff. He doesn't care about future cl\xe2\x8negative\xa6 https://t.co/bpositivevlNUcyKS"""
negative,Definitely\n\nAll lies brought to them by @realDonaldTrump and @foxnewspolitics https://t.co/vqm2h3tP2Q'
positive,@foxnewspolitics @brookefoxnews What about the trouble Trump could face?'
negative,"""@foxnewspolitics @brookefoxnews He's going to make millions in book deals, news show circuits, speaking engagements\xe2\x8negative\xa6 https://t.co/IR8rN7XTBD"""
positive,@foxnewspolitics @brookefoxnews Who is going to trust any lawyer now'
positive,@foxnewspolitics @brookefoxnews What lawyer would tape his clients conversations and then release them to save his\xe2\x8negative\xa6 https://t.co/Nyif3iKRJq'
positive,"@thehill You seriously said ""so what."" On national television. In front of many viewers. And you have the audacity\xe2\x8negative\xa6 https://t.co/X44bqXch8g'"
negative,"""@foxnewspolitics @AlexPappas Again where is that outrage. The media doesn't say anything. Why?"""
positive,"@foxnewspolitics Good move off our land,  kick out the UN, what a waste of money'"
positive,@foxnewspolitics You want an economic turnaround of historic proportions? Try Q4 2negativenegative8 at -8.positive% to Q2 2negativepositive4 at 5.positive%. Just sayin\xe2\x8negative\x99.'
negative,"@marcorubio @CNN @VP AMERICA, Why do we give Congress the unchecked power 2SILENCE media 4their immoral acts? Legal\xe2\x8negative\xa6 https://t.co/ULX8P2tI9positive'"
positive,@LisPowerpositive @smithcl4934positive I am truly amazed that he still has a job @foxnewspolitics because almost every single oth\xe2\x8negative\xa6 https://t.co/c3bDvVnqFs'
negative,"via @FoxNewsPolitics Parkland shooting survivor Kyle Kashuv emerges as conservative role model, Second Amendment ch\xe2\x8negative\xa6 https://t.co/ZnLJCT4izS'"
positive,@PoliticusSarah @old_osc Well according to @foxnewspolitics Hillary must have won! If only Fox! Then children would\xe2\x8negative\xa6 https://t.co/ziOnegativeNf9gHh'
